Theme name,Number of reviews,Representative keywords,Representative reviews
Outliers / mixed,323,,good app nice | nice service | paisa loot liye mere
quality / quality product / quality service / good quality,21,"quality, quality product, quality service, good quality, convenience quality, product quality, service quality, absolutely",poor quality product sell | quality vegetable electronics product could improve | good product quality service fast
minute / 15 minute / 15 / 10,21,"minute, 15 minute, 15, 10, 10 minute, arrive, 20, 10 10",delivery minute | order frequently arrive 10 15 minute | arrive home 5 minute
best service / service best / best / service app,21,"best service, service best, best, service app, app best, service, road near, road",best service | app best order something hurry always best service give customer | best service app
useful / useful app / useful useful / app useful,19,"useful, useful app, useful useful, app useful, baby, old, work, blinkitvery useful",useful | useful | useful app
delivery charge / charge high / high delivery / charge,19,"delivery charge, charge high, high delivery, charge, high, purchase 150, 150 delivery, 150",time delivery charge havi | service goodbut high delivery charge | charge high delivery
good experience / experience good / experience / experience blinkit,18,"good experience, experience good, experience, experience blinkit, amazing experience, blinkit experience, experience time, amazing",good experience | amazing experience | good service polyatomic good experience blinkit
job / good job / job good / job blinkit,17,"job, good job, job good, job blinkit, nice job, great job, nice good, blinkit faster",great job | good job | good job
awesome / awesome awesome / awesome app / awesome delivery,16,"awesome, awesome awesome, awesome app, awesome delivery, faster, app unbelievable, app faster, app awesome",awesome | awesome | awesome hai bos
poor / poor service / service poor / poor poor,16,"poor, poor service, service poor, poor poor, dilivery boy, dilivery, aaj drink, bad poor",poor | poor service specialy rider cooprative | poor service maximum day service available cheat pls notice customer service
offer / close 11pm / 11pm / store close,16,"offer, close 11pm, 11pm, store close, brilliant, card, store, zepto",good offer | low earn offer store close 11pm offer time late night 2 pm store close 11pm | exlent
good delivery / delivery good / delivery ppl / ppl,16,"good delivery, delivery good, delivery ppl, ppl, boy good, delivery, good, fast good",good delivery app | good delivery | good purchase quick delivery good delivery boy
bad experience / experience bad / experience / bad,16,"bad experience, experience bad, experience, bad, experid, receive used, spray, powder",bad experience receive torn packet sticky chicken piece | need order heat protector spray mistake hv order hair spray 72 hrs replacement policy request deny provision replacement bad part never recommend blinkit anyone people helpful bad experience | day day face bad experience blinkeit seriously face delay ill uninstall blink download zepto
convenient / convenient convenient / app convenient / true,15,"convenient, convenient convenient, app convenient, true, difficulty order, delivery convenient, delivery face, avaliable",convenient time save | blinkit fast app convenient | convenient
really / really good / blinkit really / cart,15,"really, really good, blinkit really, cart, satisfy, app satisfy, really minute, expand",really good blinkit | really easy purchase | satisfied
delay / delay delivery / delay order / delivery delay,15,"delay, delay delivery, delay order, delivery delay, order delay, near, day 40, delay half",say order near e order delay oeder | delay delivery show u unable fetch delivery boys location | delay order delivery follow map guide
superb / superb superb / superb experience / superb app,15,"superb, superb superb, superb experience, superb app, fast superb, smooth, absolutely super, elegant",superb app | superb | superb
