id,source,date,rating,text,author,url,scraped_at
app_store_14367443784,app_store,2026-07-30T11:00:11-07:00,3,Why 3 star. Very irritating problem of change u can’t even expect a 2 rs change n ur delivery charge is high,shivpree17,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14367348648,app_store,2026-07-30T10:30:16-07:00,5,Review. Good,2324xoxox,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14367347389,app_store,2026-07-30T10:29:53-07:00,1,Money not get refunded. I ordered an EarPods worth 504 and it was not working properly so I requested for a refund and the order was picked next minute only but it has been a month now the amount not get refunded it’s very bad also there should be a support number not only chats or there should be an free chat not only options very bad I want my money back,samaira0001,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14367171901,app_store,2026-07-30T09:36:22-07:00,5,Excellent. Best services,VPY Arts,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14366918233,app_store,2026-07-30T08:22:58-07:00,5,So good service. Nice,Sohan Singh???,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14366907222,app_store,2026-07-30T08:19:49-07:00,5,Very good app. It was very helpful app love it,Khushi Lodhi ✨,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14366891829,app_store,2026-07-30T08:15:29-07:00,1,Blinkit delivery boy pathetic. After order I have got 3 calls to reach my home . It is ridiculous. The address is clearly written in my address,RRai10394746,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14366713939,app_store,2026-07-30T07:25:38-07:00,1,Selling Defective products is the style of selling blinkit. I received defective products and support team just saying we can’t do nothing,Shyam Prakash Gollapalli,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14366674025,app_store,2026-07-30T07:14:39-07:00,5,Gourab. Thank you to give service this area,Gourab Roy Chowdhury,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14366610262,app_store,2026-07-30T06:56:50-07:00,5,good. good,ninkjhfg,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14366301442,app_store,2026-07-30T05:25:35-07:00,5,Trident Spectra A4 Rim. Trident Spectra A4 Rim. The pack was open and pages are torn,qwertyuuiioolbvfs,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14366259315,app_store,2026-07-30T05:12:23-07:00,5,Blinkit. Very nice service,Jazlyntejas,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14366194182,app_store,2026-07-30T04:51:29-07:00,5,item. delivery at time no complaint but some delivry boy confuse to reach the address after given the address very clearly,minulee…,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14365954095,app_store,2026-07-30T03:27:48-07:00,1,One thing missing. Mantra counting machine which I ordered not received,Minal bhatt,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14365870499,app_store,2026-07-30T02:56:26-07:00,5,It’s Bkinkitaway. Has changed our lifestyle,Rohit_01845,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14365802020,app_store,2026-07-30T02:29:54-07:00,1,They will not refund money for incorrect items. The ink they send for my printer was incorrect and they would not refund money even if the product is intact they will not collect. What a fraud blinkit is,Abarno Raha,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14365784184,app_store,2026-07-30T02:22:54-07:00,5,UPI. There UPI system is good,Nishchay Vishnoi,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14365572205,app_store,2026-07-30T00:57:05-07:00,1,"Poor customer service and no resolution. I received a faulty lightning cable which did not charge my phone. I had to press it really hard into my phone for it to charge. I reached out to support the same day of receiving the order. They demanded a video of me trying to charge my phone with the cable and they wanted me to show the whole process of turning on the switch on the switchboard and plugging the cable on my phone. Then I explained it to them that I am using the same phone to chat with them. How will I be able to record the whole process from the same phone. They insisted and later on without providing a resolution, they asked me to reach out to brand. Why would I use quick commerce if I had so much time to waste? The policy on the app for the product was “7 day return policy if product was found to be damaged or faulty” and in this case it was faulty. A cable that cannot charge my phone properly is FAULTY! They told me that since my phone did show a charging symbol for a split second when I pushed the cable hard against my phone so they will not take responsibility. They don’t know the definition of a faulty product. Never using this app again. Other similar app starting with the letter S is far more better than you. Bye bye forever. Will advise everyone I know to do the same",ArinKonwar,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14365563633,app_store,2026-07-30T00:53:30-07:00,1,"False claim of 72 hrs replacement or return. Blinkit heavily advertises a 72-hour replacement guarantee, but in reality, their customer support will find any excuse to deny you service. I tried to resolve an issue with a newly delivered product, but support simply shifted the blame onto me, saying I should have read every detail in the description and refusing any flexible resolution. They refuse to take accountability once they have your money. Very disappointing experience—think twice before ordering non-grocery household items here!",Harshpawar1018,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14365445363,app_store,2026-07-30T00:03:57-07:00,1,"Don’t accept order. Dear blinkit, sometimes good  and bad experience !
Today i had bad experience i wanted to order something for my brother at railway station i specifically mentioned the plat form no.  Its obvious that he need things there only
If you guys don’t deliver inside or whatever don’t accept order or give disclaimer that “dear customer come to main gate with all those heavy luggage to fetch blinkit delivery”  
If u don’t deliver inside of railway station , would have told me when i given address 

Regards!",Dr Satnam kaur,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14365412012,app_store,2026-07-29T23:49:56-07:00,5,Best. Best and fast delivery,Rohit Sundrani,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14365236954,app_store,2026-07-29T22:35:22-07:00,4,"Blinkit is Good. Packaging is so poor. 
You don’t pay any attention to the packaging of your products. The packets are almost always torn, and the items keep falling out. I have to carry them home in that condition. So many time I have complained but no improvement. 

Blinkit Service is a little bit now not so good because of packaging . A very poor level Of packaging. Kindly check it properly. Packet is often torn & bread is crushed. Kindly check it properly",aparnabharadwaj,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14365198183,app_store,2026-07-29T22:18:57-07:00,5,Well done!!. You people are amazing! Thank you!! 🫶,Pallavi Pinge,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14365181489,app_store,2026-07-29T22:11:50-07:00,1,Cheating money. Take money not deliver product then say return back money still not get but no have any response 10 day already big cheating company trying to rob out people money,Sawant Singh’s,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14365145820,app_store,2026-07-29T21:56:44-07:00,1,Poor behaviour. Service is becoming very poor never on time packing is very poor,shitalturakhia,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14365067286,app_store,2026-07-29T21:23:35-07:00,5,"Friends who makes us lazy. It has changed life, made it so easy..need mass distribution across tier 2/tier 3 cities. Will also reduce some unemployment",bckopl,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14365030326,app_store,2026-07-29T21:08:19-07:00,5,Very good Response. 10/10❤️,major tiwari,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14365011920,app_store,2026-07-29T21:00:46-07:00,3,Milk. The milk was get soured,TheAdDestroyer,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14364882601,app_store,2026-07-29T20:09:38-07:00,5,Awesome. User friendly and only need to improve product details,Om Prakash Parwat,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14364815898,app_store,2026-07-29T19:44:11-07:00,5,Easy Access in local. Good one n fast delivery,Shapriya13,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
