cluster_id,label,size,keywords,summary,representative_reviews
0,cash_delivery_service_change,7,"cash, delivery, service, change, carry, 458, like, superb","Users discuss cash, delivery, service, change, carry, 458, like, superb. Example: ""superb""",superb || like service give superb || try increase delivery distance srinagar part eg pampore
1,app_app good_location app_location,6,"app, app good, location app, location, poor, good app, good, app properly","Users discuss app, app good, location app, location, poor, good app, good, app properly. Example: ""communication skill poor""",communication skill poor || poor system update location app properly survive lot valuable time add location app also delivary man ugly behave || luvvv app
2,best_hai_best super_super acha,5,"best, hai, best super, super acha, best hai, awesome best, awesome, acha hai","Users discuss best, hai, best super, super acha, best hai, awesome best, awesome, acha hai. Example: ""best hai""",best hai || awesome || best
3,good good_good__,4,"good good, good, , , , , , ","Users discuss good good, good, , , , , , . Example: ""good""",good || good well || good
4,charge_item_time_35 minute,3,"charge, item, time, 35 minute, 35, ago, 4050 rarely, 4050","Users discuss charge, item, time, 35 minute, 35, ago, 4050 rarely, 4050. Example: ""order two item long time ago delivery person hand one item charge price bothno money refund even inform matterperhaps theyblinkit think minor incident""",order two item long time ago delivery person hand one item charge price bothno money refund even inform matterperhaps theyblinkit think minor incident || much surge charge tax || every time charge high demand charge handle charge upto 4050 r rarely use thisto deliver 35 minute
5,great_order_time_bag,3,"great, order, time, bag, blinkit deliver, bag dirty, blikit, blikit bag","Users discuss great, order, time, bag, blinkit deliver, bag dirty, blikit, blikit bag. Example: ""great""",great || order first time blinkit deliver without blikit bag dirty hand delievery boy || delivered time handle order care great service
6,nice_nice nice_nice app_app,3,"nice, nice nice, nice app, app, , , , ","Users discuss nice, nice nice, nice app, app, , , , . Example: ""nice""",nice || nice || nice app
7,area thats_exellent_provide_provide area,2,"area thats, exellent, provide, provide area, thats, thats annoy, annoy exellent, area","Users discuss area thats, exellent, provide, provide area, thats, thats annoy, annoy exellent, area. Example: ""provide area thats annoy""",provide area thats annoy || exellent
-1,Outliers / mixed,2,,"Users discuss general feedback. Example: ""perfect app order item easily affordable""",perfect app order item easily affordable || good service
